tag name	0.05	0.10	0.15	0.20	0.25	0.30
Brazil	10	4	2	2	2	2
Canada	19	8	5	3	3	2
Italy	21	8	5	3	3	2
Bangladesh	15	7	4	3	3	2
India	18	7	4	3	3	2
Korea, Republic of	6	3	1	1	1	1
Lithuania	17	7	4	3	3	2
Costa Rica	8	4	2	2	2	2
Morocco	24	9	5	3	3	2
France	24	9	5	3	3	2
Syrian Arab Republic	11	5	3	3	3	2
Netherlands	20	8	5	3	3	2
Slovakia	17	7	4	3	3	2
Ireland	20	8	5	3	3	2
Argentina	10	4	2	2	2	2
Norway	20	8	5	3	3	2
Ecuador	9	4	2	2	2	2
Czech Republic	17	7	4	3	3	2
Israel	18	7	4	3	3	2
Australia	7	3	1	1	1	1
Lebanon	23	9	5	3	3	2
Singapore	6	3	1	1	1	1
Iceland	24	9	5	3	3	2
Iran, Islamic Republic of	12	5	3	3	3	2
Macedonia, the Former Yugoslav Republic of	22	9	5	3	3	2
Slovenia	18	7	4	3	3	2
Guatemala	9	4	2	2	2	2
China	5	2	1	1	1	1
Bosnia and Herzegovina	18	7	4	3	3	2
Armenia	16	7	4	3	3	2
Puerto Rico	8	4	2	2	2	2
Belgium	20	8	5	3	3	2
Thailand	6	3	1	1	1	1
Germany	21	8	5	3	3	2
Hong Kong	5	2	1	1	1	1
Poland	18	7	4	3	3	2
Spain	21	8	5	3	3	2
Moldova, Republic of	16	7	4	3	3	2
Ukraine	14	7	4	3	3	2
Georgia	22	9	5	3	3	2
Chile	8	4	2	2	2	2
Denmark	1	1	1	1	1	1
Philippines	4	2	1	1	1	1
Indonesia	4	2	1	1	1	1
Saudi Arabia	6	3	1	1	1	1
Turkey	21	8	5	3	3	2
United States	19	8	5	3	3	2
Russian Federation	14	7	4	3	3	2
Serbia	18	7	4	3	3	2
Belarus	14	7	4	3	3	2
Croatia	18	7	4	3	3	2
Finland	2	1	1	1	1	1
Japan	3	1	1	1	1	1
Switzerland	20	8	5	3	3	2
New Zealand	19	8	5	3	3	2
Taiwan, Province of China	5	2	1	1	1	1
Nepal	15	7	4	3	3	2
Bulgaria	16	7	4	3	3	2
Romania	13	6	3	3	3	2
Peru	8	4	2	2	2	2
Portugal	22	9	5	3	3	2
Estonia	19	8	5	3	3	2
Uruguay	10	4	2	2	2	2
Kazakhstan	14	7	4	3	3	2
Sweden	1	1	1	1	1	1
Mexico	8	4	2	2	2	2
Viet Nam	5	2	1	1	1	1
Azerbaijan	16	7	4	3	3	2
Venezuela, Bolivarian Republic of	8	4	2	2	2	2
South Africa	21	8	5	3	3	2
United Kingdom	20	8	5	3	3	2
Malaysia	4	2	1	1	1	1
Austria	21	8	5	3	3	2
Latvia	17	7	4	3	3	2
Tunisia	23	9	5	3	3	2
Colombia	8	4	2	2	2	2
Greece	22	9	5	3	3	2
Paraguay	8	4	2	2	2	2
Hungary	17	7	4	3	3	2
Montenegro	24	9	5	3	3	2
Cyprus	18	7	4	3	3	2
