	Brazil	Canada	Italy	Bangladesh	India	Korea, Republic of	Lithuania	Costa Rica	Morocco	France	Syrian Arab Republic	Netherlands	Slovakia	Ireland	Argentina	Norway	Ecuador	Czech Republic	Israel	Australia	Lebanon	Singapore	Iceland	Iran, Islamic Republic of	Macedonia, the Former Yugoslav Republic of	Slovenia	Guatemala	China	Bosnia and Herzegovina	Armenia	Puerto Rico	Belgium	Thailand	Germany	Hong Kong	Poland	Spain	Moldova, Republic of	Ukraine	Georgia	Chile	Denmark	Philippines	Indonesia	Saudi Arabia	Turkey	United States	Russian Federation	Serbia	Belarus	Croatia	Finland	Japan	Switzerland	New Zealand	Taiwan, Province of China	Nepal	Bulgaria	Romania	Peru	Portugal	Estonia	Uruguay	Kazakhstan	Sweden	Mexico	Viet Nam	Azerbaijan	Venezuela, Bolivarian Republic of	South Africa	United Kingdom	Malaysia	Austria	Latvia	Tunisia	Colombia	Greece	Paraguay	Hungary	Montenegro	Cyprus
rock	1.0	0.892487145306	1.0	1.0	1.0	0.620896991319	1.0	1.0	0.766264575794	0.911294902374	0.694314800313	0.951424953123	1.0	0.934612461631	1.0	0.880148483511	1.0	1.0	1.0	0.612962687877	0.782670752697	0.578748021696	0.809728605933	0.886617061631	1.0	1.0	1.0	0.41374240557	1.0	1.0	1.0	0.976912523548	0.715325688728	1.0	0.370233531206	1.0	0.929304150727	1.0	1.0	0.955215231788	1.0	0.711424186908	0.574016489988	0.584612978702	0.670737467687	0.972489827512	0.814184017852	1.0	1.0	1.0	1.0	0.945373191469	0.947879024248	0.88759055621	0.916749562311	0.411595035486	1.0	1.0	0.68265261522	1.0	0.855195879911	0.861181104643	1.0	1.0	0.666583727295	1.0	0.459936803394	1.0	0.949997783197	1.0	0.978151260504	0.611584074259	0.90972077185	1.0	0.689657172129	1.0	1.0	1.0	0.900667871298	0.889149994707	1.0
pop	0.936844816685	0.803094648638	0.847285238959	0.843982986749	0.901769981587	1.0	0.811993015715	0.735197942277	0.816204262163	0.867546386643	1.0	1.0	0.719472345389	0.859187319259	0.629297086383	1.0	0.91068634733	0.737896028559	0.618074346513	1.0	0.830727089543	1.0	0.751057346392	1.0	0.655901499829	0.634572285953	0.889749855315	1.0	0.769297493181	0.700491044818	0.932514648537	0.810283397494	1.0	0.910033549805	1.0	0.79773437854	0.766419695572	0.657611698405	0.484396347762	0.638896937086	0.846893770379	1.0	1.0	1.0	1.0	0.822229892993	0.705650738616	0.518192245197	0.780236885957	0.51201008294	0.698428561582	1.0	1.0	0.947083241862	0.818199904504	1.0	0.710530224269	0.788747696188	0.863180515759	0.932431793838	0.570562074099	0.844884679623	0.723572474378	0.700592403103	1.0	0.807480000679	1.0	0.716864419401	1.0	0.723400136433	1.0	1.0	0.733602724177	0.764332547076	0.622773358592	0.777819874887	0.634926259836	0.749416520962	0.824846010243	0.754969831693	0.920419167769
indie	0.647537720606	1.0	0.905427631579	0.821734133572	0.798184481974	0.736738506962	0.903447243702	0.638575821751	1.0	1.0	0.654795092665	0.91034035911	0.859318915332	1.0	0.586489988892	0.814117443935	0.539572040394	0.812165327979	0.79757432462	0.613901230233	0.957778850594	0.864230727862	1.0	0.6241168011	0.864274898593	0.853291422928	0.530239212912	0.49026507535	0.790327399597	0.691124293946	0.822063657337	1.0	0.832500674058	0.974719927799	0.493357861324	0.718691377045	1.0	0.677198055177	0.664175747276	0.942466887417	0.708022996396	0.489700722673	0.628533568905	0.63296583001	0.957290942038	1.0	1.0	0.593111797878	0.848109602163	0.617084078712	0.708611896065	0.401218714607	0.344712642978	1.0	1.0	0.657169700669	0.640353482846	0.647279076535	0.834539361857	0.686125637956	1.0	0.923431903534	0.517430275328	0.66974368468	0.63389613621	0.841712383443	0.536766499848	0.76316338182	0.737858567945	0.936125297295	0.906727603322	0.691529837154	1.0	0.97496301923	0.7683906324	0.676593165113	0.900630569597	0.731686669779	0.852139883597	1.0	0.832994200834
electronic	0.426201868663	0.797486193106	0.669984497883	0.610335648262	0.769239145499	0.634175784464	0.927523073086	0.517895539706	0.941837555287	0.977108694979	0.597525450274	0.7328666935	0.971586281784	0.806324578806	0.45821822221	0.801542386863	0.512358360858	0.806940725866	0.616699505232	0.686060957988	1.0	0.676610685146	0.949410433843	0.661310156527	0.991997966334	0.754824128238	0.530375860073	0.383370089295	0.752382971751	0.668454864561	0.828402850085	0.890377999836	0.655651773961	0.739949773392	0.428420521065	0.768698173909	0.67031598563	0.812645032966	0.730930720784	1.0	0.600403295006	0.455622181811	0.398292108363	0.382167367389	0.703759049803	0.810493614084	0.781900669458	0.689441488514	0.845555145335	0.6859814604	0.603832104211	0.548086586163	0.42894228484	0.808918913525	0.992221072736	0.476392230082	0.361800089113	0.747899893297	1.0	0.507206540231	0.79520679038	1.0	0.464093132879	0.716185058651	0.502754771976	0.702744705063	0.405987610609	0.916864419401	0.652626911993	0.74345028485	0.73886677478	0.502475748459	0.742737797957	0.914084675968	1.0	0.671861449993	0.825639689405	0.548090540124	1.0	0.952672806182	0.784535558043
alternative	0.550201774996	0.618548847839	0.651750604961	0.607182499533	0.571868379893	0.43014985737	0.614686954353	0.543738792467	0.552151186168	0.607233941497	0.475165753067	0.553203812964	0.65015735127	0.633622518975	0.459428669078	0.489803748537	0.488518735085	0.623958798156	0.582836376374	0.304121483842	0.569056714664	0.46070281649	0.559369362942	0.470560036683	0.666335090686	0.605171693383	0.511534627998	0.295409828977	0.610368457068	0.561967206911	0.630856862865	0.651373986403	0.51147483783	0.605593596107	0.267056228873	0.612388418143	0.574042053772	0.618466610188	0.621971741811	0.698220198675	0.572061094903	0.334349627847	0.451136631331	0.408512122798	0.540969949931	0.676802543906	0.599773158992	0.608348997993	0.629124799186	0.615043096438	0.556559721552	0.392190017387	0.379630588852	0.569650946973	0.644377685819	0.311131856426	0.557841147252	0.608875739645	0.451884318392	0.535701909142	0.643930357919	0.600293490119	0.436867478484	0.636269543412	0.358554011303	0.612853915791	0.314406088773	0.628764335005	0.594387053868	0.685143531407	0.619755270529	0.456367463134	0.604240635641	0.656758485587	0.516513149628	0.551185875578	0.660951586847	0.564000727865	0.657508810111	0.660580078332	0.61460982806
classic rock	0.286801495555	0.395819843839	0.390114564428	0.361295836076	0.445722544497	0.225239702592	0.446555250686	0.35207679138	0.334891435464	0.354314448265	0.237024275646	0.446511490924	0.3916789833	0.422753876371	0.312088804078	0.387543883208	0.333588823743	0.375901755169	0.419878278383	0.194062200375	0.322362621217	0.17442878874	0.398071807833	0.450290752204	0.419410457906	0.410905568639	0.309055687737	0.138634840328	0.363927253101	0.406185840122	0.362048549438	0.42236260136	0.216182138269	0.390296062312	0.112833910463	0.376818161222	0.355172506473	0.324174002726	0.303683894832	0.353352649007	0.321820834048	0.277441641935	0.11507656066	0.130093770488	0.200276539647	0.364190751143	0.37053464397	0.278331793418	0.412744344772	0.275622052366	0.391248535392	0.279714144427	0.212170701832	0.408755263736	0.366385484641	0.106249925197	0.395852930013	0.371277524493	0.0833252391822	0.292120849348	0.291106118184	0.334269798515	0.317330286041	0.247404029014	0.310674297089	0.293824413608	0.16606663612	0.388045474855	0.271008645533	0.348715868655	0.421239372942	0.149617506982	0.345552780931	0.36420061568	0.267109981346	0.294705025553	0.427859711293	0.347927561572	0.336740907866	0.344892558484	0.435629260352
folk	0.245712769196	0.389183012759	0.417734800363	0.410989852951	0.381407273951	0.258025327356	0.340783237715	0.196181527551	0.428186570165	0.405270059577	0.39275385017	0.495793369526	0.349641560844	0.426810371204	0.196605052548	0.465334663418	0.176351596947	0.346236799048	0.356504225229	0.194082456685	0.458461021787	0.333038828537	0.47067456152	0.433721002939	0.340362744123	0.345523436906	0.156911131117	0.2283139824	0.306755206878	0.308563481025	0.214328004737	0.462558358588	0.292929533235	0.406050736722	0.192168562948	0.292682042684	0.347888800294	0.218866256584	0.184003132394	0.298654801325	0.238227218123	0.243140012033	0.206507656066	0.212388049826	0.397298156116	0.590129810358	0.370553086329	0.154753560391	0.326002574414	0.165108147666	0.281428768351	0.15848873008	0.138069092438	0.531522541761	0.355821263728	0.296075544864	0.340932719442	0.231952662722	0.672878927687	0.172665553525	0.368006435328	0.330543246348	0.197893082884	0.186606977566	0.306558134575	0.188205920818	0.273102167846	0.252077644839	0.213823985812	0.378408525231	0.344252788835	0.259015906852	0.414256526674	0.357144284972	0.387974444971	0.175940659914	0.359570587316	0.166348884863	0.314937755194	0.451317878692	0.393295350493
indie rock	0.225691381827	0.370786516854	0.314286524501	0.241986974844	0.255330733137	0.230575824446	0.320768271389	0.24608294183	0.323180538802	0.304215841155	0.160323675281	0.277235109903	0.302767974743	0.376859226799	0.222458773604	0.234801542387	0.197781184317	0.291638777332	0.291212399842	0.133495833952	0.274610637673	0.249727262949	0.334753319813	0.149648804685	0.290648452093	0.322912709869	0.190365571346	0.142050982681	0.281426795301	0.236411115211	0.301943610788	0.344899254648	0.275213715881	0.310178736094	0.138011171572	0.225873397073	0.357251005653	0.237559394453	0.252674197741	0.34428807947	0.267908014416	0.143905951069	0.180500588928	0.187065807755	0.294617782702	0.29365801613	0.375661619608	0.232325485073	0.293133899438	0.244161652301	0.259563029844	0.122318110035	0.116679565384	0.299758516774	0.341208419545	0.160820078274	0.188590194234	0.220768260743	0.20166577631	0.270579988659	0.398204395625	0.315743234763	0.181673392137	0.250366044531	0.16575551843	0.325364743448	0.132992555654	0.254659186814	0.263019286189	0.349803646822	0.344459187184	0.19905152525	0.356376844495	0.347239435494	0.210094429893	0.257659569094	0.334295690239	0.304603748507	0.29509129571	0.327881867259	0.274015667921
soul	0.204897239156	0.273843077509	0.220990245009	0.167391923617	0.224356055356	0.281714940372	0.293898727862	0.164479929895	0.356011258544	0.365992421192	0.218898459932	0.423303849288	0.260388702883	0.331161973569	0.160070917946	0.266944193988	0.162357570681	0.247294734494	0.237322124436	0.0401682624137	0.261051173334	0.272337548593	0.341489762849	0.175535129953	0.275716480431	0.238537947276	0.159563693653	0.187914855895	0.262343745482	0.250641007446	0.23064045242	0.380180604472	0.299099141964	0.270890148914	0.180960920109	0.279260501155	0.207894713266	0.18590003315	0.142882135359	0.232864238411	0.172833361936	0.295998593863	0.220023557126	0.206487546389	0.290066043164	0.262654156337	0.288032753629	0.130324656705	0.326760928785	0.133810375671	0.234096078296	0.143685495063	0.1512379722	0.409493683517	0.295997135127	0.159784807248	0.170206445864	0.284110970996	0.407653829343	0.16000094512	0.218264865515	0.292650196465	0.158875834732	0.179858294485	0.241054988803	0.148232756424	0.228840740983	0.26305912724	0.203555752605	0.224911963716	0.41438891346	0.227384341397	0.222229284904	0.267390956703	0.306418719736	0.178634874929	0.271739017145	0.144172725618	0.271670876219	0.423192547899	0.329423135619
alternative rock	0.24997463177	0.255313273662	0.300788339383	0.341227665197	0.283117860183	0.157915375566	0.277585432776	0.264534294037	0.206493767591	0.227281644622	0.215077003393	0.221788087922	0.289013563378	0.23986616528	0.204401754436	0.206658737315	0.2444964205	0.279237319649	0.258846709576	0.11010654819	0.215597581965	0.171263502405	0.210490914464	0.21476062444	0.26209976016	0.26645711464	0.272048421323	0.0988519167153	0.257736827395	0.253167191772	0.281323370286	0.250215005324	0.209663605653	0.269300947635	0.0911709539121	0.288295799538	0.231125525224	0.315803528675	0.313256023193	0.275186258278	0.268362793891	0.134684937434	0.182320376914	0.169430460071	0.208976373895	0.284892417443	0.234430038913	0.294540733425	0.258538970434	0.312741909254	0.251714453098	0.19997926271	0.13615561338	0.221984952202	0.275226802483	0.103251828181	0.31677310758	0.342797555534	0.186513525327	0.247133135908	0.276857784805	0.256659039785	0.202863978859	0.317314327067	0.129172146589	0.254827861474	0.11303980434	0.287861788214	0.300944358235	0.331809214772	0.248434812521	0.198896369352	0.257643586833	0.308759445089	0.200129514899	0.268335396092	0.274824117984	0.271984303425	0.292984855594	0.240637239335	0.29989826025
