	rock	pop	indie	electronic	alternative	classic rock	folk	indie rock	soul	alternative rock	dance	indie pop	rap	jazz	acoustic	ambient	hard rock	experimental	classical	house	blues	metal	new wave	hip hop	funk	punk	psychedelic	britpop	latin	heavy metal	electro	progressive rock	synthpop	dubstep	electropop	reggae	oldies	indie folk	grunge	techno	psychedelic rock	country	emo	disco	rnb	punk rock	soft rock	thrash metal	contemporary classical	swing	folk rock	trance	trip hop	progressive metal	glam rock	alternative metal	ska	industrial	metalcore	death metal	melodic death metal	black metal	post punk	romantic	blues rock	post rock	world music	doom metal	gothic metal	industrial metal	power metal	soundtracks	stoner rock	art rock	modern classical	brutal death metal	gothic rock	new age	neoclassical	avant garde	screamo	symphonic metal	baroque	fusion	nu metal	minimalism	acid jazz	art pop	noise	speed metal	rockabilly	experimental rock	groove metal	rock n roll	funk rock	alternative pop	orchestral	industrial rock	chanson francaise	chanson	progressive death metal	bluegrass	gospel	nu jazz	crossover	folk metal	smooth jazz	post grunge	minimalist	jazz fusion	melodic metal	psychedelic folk	country rock	hardcore punk	christian rock	a cappella	sludge	post hardcore	glam metal	grindcore	viking metal	opera	krautrock	ballads	dnb	neofolk	classical music	technical death metal	sludge metal	musicals	prog rock	jazz rock	contemporary jazz	trash metal	stoner metal	symphonic black metal	melodic black metal	british rock	avantgarde	flamenco	classical guitar	symphonic	atmospheric black metal	modern rock	jazz funk	pagan metal	mathcore	post metal	medieval	electroacoustic	folk punk	death doom metal	choral	crust punk	progressive black metal	ambient black metal	renaissance	early music	pagan black metal	PC1_sum	PC2_sum	PC3_sum	PC4_sum	PC5_sum	clusters_kmeans	clusters_ms
Brazil	0.723791784132	0.455249082174	0.525102113016	0.1800344868	0.844733902092	0.726795096322	0.325781334487	0.506984359216	0.536552489692	0.72137321962	0.723626465196	0.434185851654	0.556711260136	0.473827030812	0.381208420669	0.0	0.540787704131	0.0499029544964	0.110975103281	0.211876119785	0.339023795422	0.286835250016	0.404146681108	0.418242790074	0.525168720203	0.410981697171	0.433034333436	0.527265216194	0.306736025392	0.4176485027	0.160685441393	0.228433339413	0.273939393939	0.406462585034	0.390313788525	0.621163636364	0.237577002053	0.177957973668	0.696795858402	0.00255351107773	0.628539388842	0.360965829847	0.691183879093	0.0597687956055	0.356538711776	0.690136167386	0.263809910642	0.168157558445	0.018135883786	0.344145246838	0.562582345191	0.0675965665236	0.0675844806008	0.0537052456286	0.646795040886	0.30094619404	0.267313683202	0.262551440329	0.125258878576	0.0445848040126	0.0125134219873	0.083772420033	0.360431883138	0.276265874979	0.460280373832	0.0	0.426746461043	0.00961721576843	0.0170145051717	0.192842942346	0.0358598207009	0.0951225430721	0.300239552835	0.305555555556	0.00479198431714	0.286435086357	0.0891614793116	0.00494575622208	0.00722347629797	0.0862007804186	0.0653040236534	0.0298718099494	0.179233621755	0.108888888889	0.385802469136	0.0150192106182	0.11316872428	0.27506899724	0.0506493506494	0.184768637532	0.085128634177	0.0735294117647	0.0636092075206	0.402972027972	0.49695585997	0.581463414634	0.108182317408	0.343904856293	0.000704912699273	0.00433322500271	0.0	0.33290978399	0.233333333333	0.0416666666667	0.414427157001	0.00168247170388	0.151122625216	0.390243902439	0.0325581395349	0.0564915758176	0.107777097367	0.122222222222	0.251773049645	0.24011299435	0.0682788051209	0.00267379679144	0.0853835021708	0.311950790861	0.385401459854	0.143907563025	0.0167120093276	0.0283896231033	0.0125260960334	0.0674536256324	0.102081268583	0.00696643445218	0.146634615385	0.00892635755021	0.193384223919	0.0517821116342	0.172151898734	0.00617283950617	0.00833333333333	0.25313283208	0.08	0.0	0.0	0.292682926829	0.0383693045564	0.0074880871341	0.699386503067	0.0222222222222	0.0	0.122727272727	0.113989637306	0.0	0.0292056074766	0.04	0.0	0.0	0.0	0.0	0.031914893617	0.223404255319	0.0	0.0	0.0	0.0	0.0	0.664936440887	-0.834875786898	-0.567222465277	-0.748116760135	-0.737303101435	3	1
Canada	0.377597664116	0.19273243623	0.879876499534	0.668039442184	0.704372333943	0.844181747422	0.579728560614	0.856237154701	0.6028649963	0.495735746136	0.403810899394	0.810198300283	0.751941697745	0.414595004669	0.352911692336	0.301656715163	0.320691642651	0.43799870606	0.19093313515	0.27606859483	0.371703306275	0.124467882331	0.452266749188	0.7476861167	0.513652405424	0.362247131973	0.568357562635	0.248898375103	0.0229589137718	0.195262641139	0.279022403259	0.26500091191	0.508585858586	0.639361300076	0.368439443707	0.307054545455	0.43819301848	0.492283546953	0.536588778508	0.0673676304919	0.510513036165	0.333856345886	0.510327455919	0.0496433549233	0.294242029928	0.439222849552	0.416734362307	0.0493873562354	0.144726157178	0.682170542636	0.747474747475	0.21008583691	0.198283568747	0.0294199278379	0.507254022685	0.180624205621	0.173855739276	0.289300411523	0.0155710669633	0.00190414267137	0.0113157677377	0.0349672680824	0.347094315656	0.141019297378	0.507593457944	0.289645682835	0.0681321210726	0.00714149685774	0.0050798702491	0.11754473161	0.0045503939147	0.165251152633	0.195900984828	0.456597222222	0.138967545197	0.0584125751989	0.037532039546	0.0358966177409	0.129571106095	0.262149698475	0.0255816943052	0.0012936610608	0.197362999588	0.144444444444	0.186728395062	0.184771219001	0.191358024691	0.562097516099	0.55974025974	0.068766066838	0.12047688768	0.255514705882	0.00263574064312	0.354895104895	0.357686453577	0.359024390244	0.161449752883	0.425173439049	0.00135560134476	0.00877478063048	0.0	0.833545108005	0.314035087719	0.164930555556	0.308345120226	0.0	0.158894645941	0.310569105691	0.186046511628	0.274529236868	0.0496019595836	0.4	0.413120567376	0.13488700565	0.0120910384068	0.376114081996	0.0716353111433	0.15992970123	0.128467153285	0.0976890756303	0.0062184220754	0.0313264806657	0.0334029227557	0.0362563237774	0.0336967294351	0.00443318556048	0.180288461538	0.0	0.167938931298	0.0	0.240506329114	0.109053497942	0.0527777777778	0.0526315789474	0.07	0.0	0.0	0.16724738676	0.0767386091127	0.0	0.398773006135	0.0142857142857	0.0	0.193181818182	0.295336787565	0.0	0.0210280373832	0.0211764705882	0.0	0.029520295203	0.0116448326055	0.0	0.0372340425532	0.234042553191	0.0	0.0	0.0	0.0	0.0	0.0239377528452	-0.0865621989202	-1.43850507554	-0.216055850124	-1.31583769873	4	0
Italy	0.499053564237	0.231689462106	0.731402566494	0.452530427067	0.805682510664	0.836933255497	0.669514437115	0.65799282405	0.460672375515	0.71254166847	0.196322426532	0.446674380561	0.212782700927	0.555701447246	0.371821744281	0.400386847195	0.447031700288	0.454992452016	0.354893003126	0.129869465063	0.471414137895	0.230478429379	0.558254680489	0.176525821596	0.483066064021	0.402618442946	0.505722239406	0.558523822638	0.0491271380709	0.354013254786	0.151485357118	0.421666970637	0.29797979798	0.481481481481	0.196100356419	0.272363636364	0.291683778234	0.397680704508	0.693018049531	0.178445362373	0.559714045416	0.160390516039	0.303526448363	0.0405427564155	0.104586857515	0.461640650947	0.396222583266	0.141847703526	0.288369575025	0.530395756834	0.784365393061	0.0405579399142	0.170033971035	0.116638912018	0.717488789238	0.241914983759	0.135514018692	0.413374485597	0.0447955818056	0.0256362623073	0.0212686875361	0.0578529990952	0.460781200381	0.282533399307	0.575934579439	0.43997248022	0.0696282656232	0.0111407350981	0.0122406512026	0.212723658052	0.0207144797609	0.227371997088	0.361458610594	0.643518518519	0.261380962753	0.14574034543	0.116990113512	0.103541799617	0.248984198646	0.478893224548	0.0161331790719	0.0215218158297	0.429336629584	0.226172839506	0.310185185185	0.330073349633	0.336934156379	0.560257589696	0.592207792208	0.164845758355	0.0719514745869	0.461397058824	0.0534176770339	0.401223776224	0.37595129376	0.292682926829	0.225151015925	0.448959365709	0.00206051404403	0.0503737406565	0.0512749445676	0.327827191868	0.293859649123	0.214409722222	0.629420084866	0.000917711838483	0.251295336788	0.230894308943	0.367441860465	0.354806739346	0.0808328230251	0.326666666667	0.237588652482	0.120056497175	0.0	0.193404634581	0.0853835021708	0.269771528998	0.265693430657	0.093487394958	0.00582977069569	0.062163485071	0.408141962422	0.175379426644	0.0297324083251	0.193160227992	0.375	0.000495908752789	0.193384223919	0.0	0.577215189873	0.117283950617	0.0888888888889	0.130325814536	0.235	0.0	0.0	0.317073170732	0.177458033573	0.0	0.429447852761	0.0460317460317	0.00160384923817	0.0204545454545	0.461139896373	0.0	0.0233644859813	0.0235294117647	0.0	0.0387453874539	0.0698689956332	0.0	0.0585106382979	0.159574468085	0.0	0.00220750551876	0.0	0.0	0.0	0.91473166916	0.12759377529	-1.89504097762	-0.700808805341	-1.03786544222	8	0
Bangladesh	0.458890455095	0.204349649424	0.536310423568	0.306128940452	0.624466788544	0.727719400662	0.605899210555	0.357926638102	0.293159953483	0.838824191523	0.350369423921	0.411762358856	0.406918260513	0.12018557423	0.676478629363	0.429624646091	0.860057636888	0.165149881389	0.318761065816	0.278884054262	0.274257046302	0.678600927632	0.150342977977	0.36686787391	0.195282025881	0.26455906822	0.239328796783	0.344808592674	0.0471874448951	0.88175012273	0.119811784535	0.502051796462	0.127272727273	0.491307634165	0.204486686701	0.276727272727	0.0506160164271	0.496555933386	0.648943612705	0.0533984228314	0.508270255116	0.420850767085	0.60717884131	0.0394769205542	0.195348080677	0.358850880106	0.904955320877	0.463880327746	0.342596769828	0.205426356589	0.559947299078	0.474248927039	0.0960128732344	0.51505689703	0.475600105513	0.560090382714	0.0808770668584	0.462345679012	0.505330981054	0.238993126509	0.266333526059	0.100377880675	0.0641473483646	0.566056407719	0.522196261682	0.463708290334	0.251812636667	0.107312892782	0.147499846992	0.375994035785	0.115525672372	0.28099975734	0.1921746074	0.452546296296	0.310389893269	0.21385600621	0.1808861223	0.275366943204	0.304740406321	0.160695282015	0.0825298881604	0.301070210514	0.177997527812	1.0	0.649691358025	0.347188264059	0.106481481481	0.192272309108	0.0103896103896	0.324550128535	0.0374398661368	0.165441176471	0.284308557371	0.271853146853	0.315829528158	0.273170731707	0.233937397035	0.488602576809	0.0016809456675	0.0133246668833	0.293514412417	0.529860228717	0.190350877193	0.0954861111111	0.366336633663	0.155552156623	0.0621761658031	0.821138211382	0.387209302326	0.101090188305	0.321494182486	0.186666666667	0.210992907801	0.0953389830508	0.853485064011	0.132798573975	0.157018813314	0.160808435852	0.629197080292	0.191176470588	0.172949863972	0.0523739598629	0.0104384133612	0.18802698145	0.0455896927651	0.0145661811273	0.235576923077	0.0867840317382	0.312977099237	0.0	0.422784810127	0.162551440329	0.00833333333333	0.365914786967	0.085	0.0974358974359	0.0179346253977	0.191637630662	0.0743405275779	0.0	0.21472392638	0.112698412698	0.064955894146	0.4	0.0725388601036	0.422521655438	0.0607476635514	0.12	0.0	0.0553505535055	0.00727802037846	0.0285714285714	0.031914893617	0.170212765957	0.002079002079	0.00441501103753	0.0	0.0	0.0	1.83657790891	0.431357517481	0.17013927618	-0.43123921239	-1.23341488415	6	2
India	0.450986709625	0.242423796526	0.487682114945	0.566839100665	0.521785496648	0.928269118506	0.516383692008	0.398265231477	0.441775029073	0.573098402528	0.614188100661	0.421019032039	0.421185889759	0.294205182073	0.552401348765	0.544445378858	0.624207492795	0.250593055855	0.416227677108	0.480061428206	0.392920600634	0.301702776542	0.177678064882	0.481153588196	0.338988297938	0.21153340923	0.3379214352	0.34818231892	0.0526891200846	0.430657830142	0.227473839455	0.425542586175	0.170808080808	0.611300075586	0.29170452163	0.363345454545	0.189630390144	0.404220071497	0.637470267245	0.10161472024	0.562797869358	0.275889121339	0.465365239295	0.0409936869722	0.317989590111	0.31899701096	1.0	0.194843268436	0.372191644861	0.386984904121	0.510759771629	0.805793991416	0.170033971035	0.217596447405	0.453706146136	0.30348820788	0.105799185238	0.372839506173	0.127023088134	0.0452349990711	0.0311803089122	0.0510405024216	0.0755795490632	1.0	0.642523364486	0.490196078431	1.0	0.0228527899448	0.0122406512026	0.212226640159	0.0194919858734	1.0	0.21400053234	0.374421296296	0.368111522544	0.127692606249	0.0812889051629	0.274409700064	0.336343115124	0.150053210358	0.0544414449158	0.00540985534517	0.300782859497	0.330617283951	0.361111111111	0.362556758645	0.194444444444	0.224471021159	0.143506493506	0.205334190231	0.0514536707802	0.143382352941	0.107889650325	0.386363636364	0.34398782344	0.293658536585	0.381658429434	0.432111000991	0.00162672161371	0.00324991875203	0.164356984479	0.355781448539	0.240350877193	0.177083333333	0.346534653465	0.0	0.113989637306	0.570731707317	0.409302325581	0.199207135778	0.101041028781	0.206666666667	0.312056737589	0.066384180791	0.268847795164	0.00356506238859	0.167149059334	0.1230228471	0.343065693431	0.246848739496	0.0062184220754	0.103768967205	0.0156576200418	0.183811129848	0.0743310208127	0.00189993666878	0.271634615385	0.00719067691545	0.175572519084	0.0	0.412658227848	0.131687242798	0.0277777777778	0.167919799499	0.0783333333333	0.0	0.000289268151577	0.184668989547	0.0479616306954	0.0	0.355828220859	0.047619047619	0.0	0.206818181818	0.181347150259	0.0	0.0257009345794	0.0776470588235	0.0	0.110701107011	0.0	0.00595238095238	0.0478723404255	0.191489361702	0.0	0.0	0.0	0.0	0.0	0.939239545758	0.621720416673	-0.439926048744	-0.761456199201	-1.20500731377	9	0
Korea, Republic of	0.246939186468	0.529079819598	0.731901070981	0.64672793933	0.475446881983	0.545607122008	0.381988753109	0.544396837008	0.811132254995	0.224078964457	0.985723015388	0.671068906356	0.559482670134	0.797123015873	0.473753759227	0.350208841421	0.213640730067	0.32163036446	0.386281667359	0.322088558997	0.361495314079	0.107503653345	0.253494249317	0.655734406439	0.541824035663	0.217138103161	0.36313021961	0.47301019003	0.0340327984482	0.20324005891	0.233654048739	0.146589458326	0.427272727273	0.57492441421	0.407994968202	0.228290909091	0.352258726899	0.349725346586	0.236602770393	0.0977093503567	0.384076254556	0.241806136681	0.397481108312	0.0773960810035	1.0	0.320823646629	0.417952883834	0.0572803127114	0.26211314626	0.708690330477	0.335529205094	0.370600858369	0.183443590202	0.0442686650014	0.436560274334	0.133314503601	0.105559549485	0.254732510288	0.00889775255043	0.00794166821475	0.0172627405633	0.068550747778	0.252143537631	0.344219033482	0.226635514019	0.285861713106	0.0660605363103	0.00628451723481	0.0055694962972	0.072564612326	0.00719913067101	0.266925503519	0.115251530476	0.3125	0.227401437595	0.115272656705	0.0444891980959	0.124760689215	0.222799097065	0.353316779	0.00713459313536	0.00294013877455	0.40543881335	0.262716049383	0.303497942387	0.305623471883	0.496913580247	0.585096596136	0.282467532468	0.0848329048843	0.0468521229868	0.200367647059	0.0100158144439	0.216783216783	0.336377473364	0.539512195122	0.260845689182	0.342913776016	0.00119292918339	0.00238327375149	0.0	0.321473951715	0.283333333333	0.1953125	0.271570014144	0.0	0.538860103627	0.0617886178862	0.320930232558	0.443012884044	0.0569503980404	0.276666666667	0.196808510638	0.0847457627119	0.00782361308677	0.681818181818	0.0311143270622	0.0492091388401	0.132846715328	0.239495798319	0.00660707345511	0.062163485071	0.0542797494781	0.22849915683	0.0822596630327	0.0120329322356	0.377403846154	0.0	0.0	0.404169468729	0.177215189873	0.0864197530864	0.451388888889	0.047619047619	0.045	0.0	0.0	0.163763066202	0.0863309352518	0.0	0.521472392638	0.0206349206349	0.0	1.0	0.497409326425	0.0	0.0198598130841	0.00705882352941	0.0	0.0332103321033	0.0	0.0	0.0585106382979	0.255319148936	0.0	0.0	0.0	0.0	0.0	-0.451685422443	0.480248203744	-0.811949050592	-0.365616036988	-1.10595414575	2	0
Lithuania	0.443002416432	0.170962117143	0.647155308269	0.82220882929	0.619236238066	0.921701692936	0.398129122959	0.619674643815	0.621286605349	0.539373998874	0.46269651686	0.476559071141	0.197591268348	0.352007469655	0.32206324615	0.474084041152	0.593544668588	0.459823161527	0.227108789263	0.432761709752	0.407413859178	0.294618463689	0.601165609366	0.226626425218	0.521639526964	0.300070058674	0.453448809156	0.458964472597	0.0269441015694	0.443114874816	0.321019734532	0.267873426956	0.580202020202	0.635865457294	0.331190160039	0.265527272727	0.430184804928	0.423140639986	0.440604449419	0.266466391288	0.559994393047	0.162046722455	0.348110831234	0.0760022956465	0.193070917372	0.417635337097	0.414094232331	0.144403518003	0.206622755572	0.630150958792	0.602547211243	0.360729613734	0.278026104059	0.0859006383569	0.705354787655	0.290072023725	0.137910376228	0.525925925926	0.100329830482	0.0288407950957	0.033327826877	0.0669540688701	0.438869482375	0.177304964539	0.839953271028	0.321293429653	0.0544366440327	0.0527518567892	0.0366607503519	0.317345924453	0.0302906818799	0.16937636496	0.250731966995	0.465856481481	0.212589849706	0.0576363283524	0.209630172098	0.0955647734525	0.190744920993	0.23306136928	0.041329219694	0.0950252851935	0.230325504738	0.096049382716	0.364711934156	0.266154383514	0.299382716049	0.578656853726	0.242857142857	0.176413881748	0.139510562644	0.258272058824	0.0671235283781	0.38986013986	0.620243531202	0.361951219512	0.144975288303	0.509415262636	0.00151827350613	0.00259993500162	0.0612527716186	0.331639135959	0.311403508772	0.263020833333	0.427157001414	0.0139186295503	0.141623488774	0.266666666667	0.274418604651	0.147670961348	0.0918554807103	0.264444444444	0.22695035461	0.0868644067797	0.0163584637269	0.00445632798574	0.0745296671491	0.108963093146	0.405839416058	0.126050420168	0.0493587252235	0.0416054821341	0.281837160752	0.0531197301855	0.100099108028	0.125395820139	0.230769230769	0.00421522439871	0.150127226463	0.0	0.20253164557	0.0473251028807	0.025	0.132832080201	0.0916666666667	0.0	0.000578536303153	0.250871080139	0.129496402878	0.0	0.171779141104	0.0460317460317	0.155573376103	0.0727272727273	0.233160621762	0.00769971126083	0.0268691588785	0.150588235294	0.00156985871272	0.0387453874539	0.0	0.0142857142857	0.0425531914894	0.159574468085	0.0343035343035	0.0132450331126	0.0	0.0	0.0	0.906074656987	-0.0512488331524	-1.45272533717	-0.297153792459	-1.25127157511	1	0
Costa Rica	0.674758356826	0.238840780171	0.456630109671	0.334471732543	0.756474710542	0.888499708114	0.128392992322	0.556240638172	0.378528385664	0.746352655959	0.36809066163	0.428879224355	0.2409415951	0.281629318394	0.133691788936	0.178650520001	0.650758885687	0.191416864352	0.304574963387	0.164218070131	0.311674737832	0.419276955334	0.69580690082	0.222334004024	0.456937650919	0.438567300114	0.41888339004	0.477829798953	0.502204196791	0.570324005891	0.14432193272	0.41642349079	0.465757575758	0.402494331066	0.280942064435	1.0	0.193737166324	0.199058331154	0.863579124108	0.0552009012392	0.608354359406	0.129532775453	0.412594458438	0.0666967287038	0.112231620039	0.528229823979	0.443135662063	0.323611215515	0.130831002436	0.352917176663	0.304347826087	0.166309012876	0.110495261935	0.208853733	0.59271959905	0.395848044062	0.562664749581	0.449588477366	0.0837616015955	0.108907672302	0.0460064425539	0.120496034914	0.455382661162	0.263400956622	0.421728971963	0.200550395597	0.102198181609	0.0207103408875	0.0287043270702	0.333001988072	0.0921624558544	0.19097306479	0.210007985094	0.502314814815	0.119799607929	0.452163788085	0.130904430611	0.0939693682195	0.100225733634	0.207520397304	0.0143977374984	0.1197224509	0.437577255871	0.263950617284	0.480967078189	0.196996157876	0.361111111111	0.319227230911	0.176623376623	0.348650385604	0.0880568918636	0.332720588235	0.128624143384	0.374125874126	0.471841704718	0.274146341463	0.203734211971	0.586719524281	0.00140982539855	0.00281659625176	0.17544345898	0.369758576874	0.174561403509	0.112847222222	0.616690240453	0.0804527378403	0.1597582038	0.484552845528	0.204651162791	0.248761149653	0.159828536436	0.237777777778	0.244680851064	0.362994350282	0.0618776671408	0.141711229947	0.266280752533	0.134446397188	0.579562043796	0.214285714286	0.048581422464	0.0592266275086	0.0240083507307	0.0472175379427	0.0208126858276	0.00379987333756	0.348557692308	0.0337217951897	0.470737913486	0.0	0.4	0.102880658436	0.0194444444444	0.255639097744	0.101666666667	0.0	0.0	0.296167247387	0.0791366906475	0.0136147038802	0.349693251534	0.0714285714286	0.0	0.122727272727	0.373056994819	0.00192492781521	0.0268691588785	0.0494117647059	0.0	0.0110701107011	0.0	0.0	0.0531914893617	0.159574468085	0.0	0.0	0.0	0.0	0.0	1.57613229221	-0.76216064086	-0.953321879229	-0.962082437879	-0.393350769056	3	1
Morocco	0.201389448248	0.169593655045	0.790788923552	0.834480103126	0.4496496039	0.643413115392	0.626338271872	0.619709478524	0.778808542129	0.224252132127	0.516304649742	0.658141483462	0.910699011188	0.557131185808	0.465232844254	0.374961455442	0.273314121037	0.361958162605	0.397079717589	0.531405170207	0.518343030345	0.132664082852	0.193099179947	0.931455399061	0.595752584979	0.167702951222	0.524822146613	0.395139080143	0.0650855228355	0.209315169367	0.389212725613	0.17116542039	0.307070707071	0.622732426304	0.320357816759	0.509454545455	0.268891170431	0.511727264801	0.348677766895	0.176417574164	0.595178020746	0.192468619247	0.246473551637	0.112158727556	0.342062459336	0.254732646961	0.26177904143	0.0687063068481	0.276910583777	0.435536515708	0.523056653491	0.338626609442	0.376005721438	0.0971412711629	0.436032709048	0.161982770795	0.156601965013	0.306378600823	0.0199432384751	0.0231748095857	0.0187907821921	0.064505827878	0.228961575103	0.244598383638	0.566588785047	0.235982112143	0.623086661296	0.00847457627119	0.013770732603	0.100894632207	0.0182694919859	0.309390924533	0.212403513442	0.307291666667	0.238292311043	0.176013972443	0.0488831929696	0.0682833439694	0.227088036117	0.25008868393	0.00707031752153	0.0319887098671	0.463123197363	0.471604938272	0.112654320988	0.368843870066	0.388374485597	0.529898804048	0.231818181818	0.086118251928	0.0524994770968	0.175551470588	0.0195044807591	0.281468531469	0.34703196347	0.405853658537	0.306974190005	0.329038652131	0.0928858041427	0.209186437006	0.0726164079823	0.404066073698	0.336842105263	0.400173611111	0.256011315417	0.0	0.375647668394	0.0585365853659	0.390697674419	0.286422200198	0.0857317819963	0.301111111111	0.207446808511	0.0268361581921	0.000711237553343	0.00445632798574	0.00289435600579	0.144112478032	0.121167883212	0.121848739496	0.0062184220754	0.0690161527166	0.0365344467641	0.0227655986509	0.0703666997027	0.0196326789107	0.370192307692	0.000743863129184	0.0	0.0	0.136708860759	0.0699588477366	0.147222222222	0.0651629072682	0.0666666666667	0.0	0.0	0.191637630662	0.0575539568345	0.421375085092	0.490797546012	0.0460317460317	0.0	0.0272727272727	0.445595854922	0.0	0.0198598130841	0.0	0.0	0.0442804428044	0.0	0.0	0.0585106382979	0.191489361702	0.0	0.0	0.0	0.0	0.0	-0.0846867060794	0.593358935565	-1.345299793	-0.175066508027	-0.942763724457	4	0
France	0.322513089005	0.190378092835	0.748480365356	0.850183315755	0.548217550274	0.667736913796	0.535876500487	0.526108614624	0.779601437784	0.287891250703	0.428531748236	0.578701671787	0.498922229445	0.6606267507	0.320924086394	0.295349423934	0.259519692603	0.302264395083	0.311569651796	0.361556181213	0.483433787409	0.118336616049	0.424673784104	0.552716297787	0.76496811343	0.260705841142	0.379600989793	0.412420820711	0.0527772879563	0.176791850761	0.558606643725	0.176454495714	0.379797979798	0.432445200302	0.310713536935	0.459781818182	0.356981519507	0.42654111082	0.278998181055	0.245362373263	0.506868516961	0.158908647141	0.179093198992	0.137656800853	0.221210149642	0.322152108934	0.195369618197	0.0242802375404	0.209329603898	0.619951040392	0.44751866491	0.000214592274678	0.585910960129	0.0118651124063	0.548140332366	0.183024996469	0.158039779535	0.433950617284	0.0128864002455	0.00682704811443	0.0123069298753	0.0363510564692	0.311209907907	0.17746989939	0.625	0.185070519436	0.0763033720796	0.00942677585222	0.00514107350511	0.181908548708	0.00461831024178	0.255520504732	0.291189779079	0.377314814815	0.191897190155	0.0522026004269	0.0399121201025	0.0378111040204	0.175620767494	0.268180205747	0.00835582979817	0.00141126661178	0.370416151628	0.30049382716	0.191872427984	0.271742927	0.510802469136	0.528058877645	0.186363636364	0.0533419023136	0.0585651537335	0.183823529412	0.002811456686	0.354895104895	0.384322678843	0.523902439024	0.267435475014	0.375619425173	1.0	1.0	0.019955654102	0.292249047014	0.316666666667	0.573784722222	0.615275813296	0.0	0.54231433506	0.0780487804878	0.318604651163	0.338949454906	0.0600122473974	0.326666666667	0.196808510638	0.0374293785311	0.0	0.115864527629	0.0238784370478	0.230228471002	0.105109489051	0.0987394957983	0.00582977069569	0.0494371023005	0.12108559499	0.0430016863406	0.0455896927651	0.112729575681	0.269230769231	0.00371931564592	0.0	0.00336247478144	0.129113924051	0.0720164609053	0.205555555556	0.0325814536341	0.0583333333333	0.0	0.0	0.233449477352	0.177458033573	0.0142954390742	0.515337423313	0.0253968253968	0.0	0.0136363636364	0.523316062176	0.0	0.018691588785	0.0141176470588	0.0	0.0332103321033	0.0	0.0142857142857	0.0531914893617	0.18085106383	0.0	0.0	0.0	0.0	0.0	0.109774017746	0.277028935593	-1.71770538553	-0.215847022268	-1.05831110173	4	0
