	Brazil	Canada	Italy	Bangladesh	India	Korea, Republic of	Lithuania	Costa Rica	Morocco	France	Syrian Arab Republic	Netherlands	Slovakia	Ireland	Argentina	Norway	Ecuador	Czech Republic	Israel	Australia	Lebanon	Singapore	Iceland	Iran, Islamic Republic of	Macedonia, the Former Yugoslav Republic of	Slovenia	Guatemala	China	Bosnia and Herzegovina	Armenia	Puerto Rico	Belgium	Thailand	Germany	Hong Kong	Poland	Spain	Moldova, Republic of	Ukraine	Georgia	Chile	Denmark	Philippines	Indonesia	Saudi Arabia	Turkey	United States	Russian Federation	Serbia	Belarus	Croatia	Finland	Japan	Switzerland	New Zealand	Taiwan, Province of China	Nepal	Bulgaria	Romania	Peru	Portugal	Estonia	Uruguay	Kazakhstan	Sweden	Mexico	Viet Nam	Azerbaijan	Venezuela, Bolivarian Republic of	South Africa	United Kingdom	Malaysia	Austria	Latvia	Tunisia	Colombia	Greece	Paraguay	Hungary	Montenegro	Cyprus	PCA1	PCA2	PCA3	PCA4	PCA5	PC1_sum	PC2_sum	clusters_kmeans
rock	0.406445386407	0.333934181256	0.241948926465	0.233956625791	0.162272693442	0.435580587713	0.772906662182	0.413126385018	0.289355003676	0.356824693993	0.231258518808	0.314004152451	0.677303605723	0.390230908557	0.543237616195	0.302103307465	0.457487445324	0.763434988896	0.25304889078	0.126909776648	0.12959024914	0.461708537369	0.40005726774	0.280509462647	0.289193149854	0.248646772492	0.440875768091	0.417401529492	0.222271024412	0.147154520843	0.345766255202	0.385454405569	0.493299865308	0.765891934603	0.388810441689	0.791578221681	0.371418756066	0.292234666763	0.332762289827	0.252542393154	0.422616171209	0.459456063312	0.514018373048	0.48119823192	0.474351161389	0.379366797063	0.350554034658	0.347471930923	0.246867866999	0.351763628567	0.246770907343	0.168964683099	0.536609343549	0.302237796492	0.736794393117	0.416203688752	0.277092226507	0.249872486659	0.109916754055	0.468463441605	0.277145830769	0.725992652733	0.472003099508	0.34547685322	0.453618953017	0.425286572594	0.445058047643	0.16021774246	0.374026215957	0.812744066273	0.354461587878	0.515320595612	0.775174269891	0.775207845054	0.226117335596	0.41946733427	0.293300933064	0.454906105183	0.734981519858	0.269685467552	0.758048410423	0.210059172482	0.0107285538416	0.188077675966	0.0630076175724	0.166970725968	3.78144135421	-0.554672747473	2
pop	0.336418945688	0.299942261543	0.214928916873	0.198767049395	0.141835381964	0.52641922212	0.661993183544	0.303104046137	0.283406638863	0.333714899546	0.265472658798	0.297184758227	0.555005098261	0.360754950848	0.410480578943	0.298553889745	0.389327868862	0.625129025716	0.203479723205	0.168112877697	0.126610401565	0.56220980142	0.381029543037	0.278960355891	0.257991262287	0.205573457957	0.368400767601	0.653880511008	0.189276147039	0.10892225118	0.301155365357	0.344527129745	0.541551106399	0.676748986691	0.668318533626	0.652607265513	0.322037422205	0.236668216183	0.252747935114	0.219571498346	0.348072601173	0.519400402312	0.63859545963	0.606335210672	0.535975524588	0.341850886068	0.317410179541	0.267831893421	0.217426330316	0.274305401704	0.202589391832	0.148448179186	0.485529284762	0.291027486461	0.660734346571	0.626608912346	0.216460932373	0.208974632305	0.12687770585	0.405956835198	0.24505667482	0.678433684056	0.343199926545	0.291154670818	0.530813143166	0.341338262502	0.630201042794	0.126385518928	0.346179170719	0.663960441992	0.33360610534	0.608001364224	0.663859499834	0.656137598887	0.215659880381	0.326923704443	0.258012193936	0.350951220755	0.669644845039	0.252405296597	0.680105330995	0.00387635995278	0.138747975681	0.308344244857	0.117397888047	0.211871763783	3.53176109801	-0.773032215978	8
indie	0.354634146055	0.426290229185	0.265430284731	0.244659726569	0.165868516962	0.591720009532	0.856141783842	0.358072445436	0.399620002484	0.431324383576	0.250227265338	0.366083119655	0.724593977625	0.463323095746	0.472705359717	0.340074347696	0.358319431625	0.793723741664	0.260304067797	0.166970294646	0.176379238408	0.702213451035	0.485299346393	0.263325756941	0.298820798309	0.262848391229	0.335835198595	0.56181398301	0.225493500165	0.133880117826	0.362467500993	0.448030694382	0.657461354747	0.90842804043	0.578995060218	0.757994274466	0.46204022366	0.27236806474	0.311670369427	0.281159762324	0.401061796184	0.410113091637	0.66491068342	0.635067590497	0.699788825608	0.440650887932	0.458659256538	0.309386997038	0.258322374398	0.320046676033	0.237724911987	0.0719363025395	0.328248975615	0.392177549807	0.920669018936	0.675015997843	0.248008316568	0.221684086039	0.162681088115	0.440513352808	0.33064984186	0.88891722222	0.352628475704	0.32604095885	0.536816259419	0.465224717949	0.578368662513	0.158169134248	0.378203977037	0.930479810054	0.397692350025	0.659798481411	0.984660838135	0.898952305781	0.257395266441	0.383607387063	0.310105264417	0.448193657923	0.824203857484	0.310418630581	0.793373591218	0.00406324898242	0.124375428614	0.11714721778	0.176111222282	0.0102799660017	4.22301304329	-1.07726627044	5
electronic	0.26465271109	0.387338889726	0.237247264564	0.212837760485	0.173625197901	0.56429747602	0.927512808705	0.327240583898	0.407793759104	0.449111755178	0.255051540184	0.334260993229	0.840217193149	0.43180377092	0.436127887519	0.360952998313	0.373066015051	0.840936179688	0.239074851508	0.208158786313	0.196371710804	0.624881575061	0.494308713106	0.285272736183	0.328530355559	0.258905396053	0.364524360338	0.498111708764	0.232018513269	0.142204799659	0.397575521715	0.441232072684	0.587424335585	0.795582341766	0.554820648492	0.851885210568	0.378600183779	0.320176323022	0.344257634186	0.30348455658	0.381608379012	0.423856993038	0.508772866938	0.45411538707	0.597673779709	0.412388284589	0.414595524209	0.349570170745	0.270949618743	0.35251081948	0.230146360674	0.136336617708	0.407862564809	0.358047968603	0.973522151631	0.563356882761	0.188636260189	0.261385350967	0.224702371054	0.382911585829	0.309392980248	1.0	0.352060728613	0.352835271933	0.4778411787	0.432961220943	0.505895967399	0.19595241778	0.37037658262	0.848297374026	0.370498806293	0.564048866438	0.852888638758	0.913450089756	0.309515106818	0.412636207931	0.311172036063	0.388167464242	0.976984794835	0.316321149283	0.814019507592	0.12465632784	0.156831766324	0.0979903672381	0.301075420397	0.0308816372702	4.13551274028	-0.943124217931	5
alternative	0.437982814131	0.394019565987	0.272937069629	0.25684710506	0.169210345209	0.509151440595	0.844758907096	0.433750982057	0.335799574657	0.396299351404	0.252393943751	0.328545422387	0.772338122273	0.440480150889	0.51041518355	0.30091069636	0.437758068996	0.856303491829	0.269290796525	0.107313105623	0.153975582874	0.576419351524	0.434266485607	0.269291794401	0.311560667896	0.266557567173	0.437091741791	0.494653023714	0.241340434995	0.153678792498	0.397480241957	0.432461502335	0.600433583251	0.836237436592	0.459653296668	0.888136807389	0.407759278896	0.322370672096	0.37114253406	0.292175462025	0.45651282064	0.393905688462	0.693339844288	0.601127261023	0.602565879834	0.435425188852	0.41830381293	0.383937391164	0.26808811691	0.388676309622	0.256209846492	0.118880685096	0.452447415721	0.335504735379	0.876173677176	0.493696910574	0.292975252865	0.273875371541	0.109916754055	0.484664463192	0.320521255742	0.849767754836	0.414330874159	0.387464112848	0.439347711426	0.489951586502	0.502297603925	0.18132481621	0.435530274902	0.977124974927	0.394332144558	0.640206643774	0.896965081004	0.8848506757	0.251712504768	0.440890394437	0.317963861926	0.492584585323	0.890113320804	0.303728266004	0.82743541177	0.178595202494	0.0205993262394	0.151641309669	0.0877229171274	0.0	4.22546627062	-0.827645570376	5
classic rock	0.407228544026	0.41972689025	0.276095292511	0.271121498797	0.209042126741	0.53174038967	0.968077017888	0.467073104866	0.372048900045	0.41720273055	0.286869004417	0.415214616686	0.802773057259	0.472532966931	0.554116469592	0.389872646417	0.493431226377	0.878322395781	0.294915345076	0.151091422996	0.168635585439	0.519168017125	0.487559170906	0.35530987985	0.327376908941	0.287828420298	0.4606458202	0.499287021528	0.250496386705	0.185198180938	0.415643409353	0.460777126023	0.540382147316	0.91360556904	0.457927667696	0.919648259591	0.428371367082	0.313195239302	0.342385950779	0.281939312143	0.455931180679	0.580678909591	0.481239203898	0.463766493773	0.527531223963	0.432364900904	0.436670211853	0.345634527605	0.286360155044	0.349991513629	0.280894312118	0.178060600045	0.462454665382	0.397281562127	0.888219724569	0.459369985525	0.323863550157	0.289523209407	0.109916754055	0.473800809299	0.299275265134	0.866788273225	0.48918446358	0.335457502562	0.628133201542	0.438601708697	0.538104944484	0.193187442885	0.390104151501	0.902475078318	0.434089914334	0.522897493688	0.902669276267	0.883290507733	0.260923982298	0.432869470565	0.333440276727	0.501546363783	0.860400611602	0.302412014074	0.947353110993	0.192184391728	0.0836780009814	0.102455536825	0.0360562278531	0.116150696618	4.33719973575	-0.782901745719	5
folk	0.302658335206	0.371100809528	0.259175825602	0.254280187735	0.168681016373	0.479061450696	0.754611383541	0.275227849824	0.368854534119	0.394140959364	0.307874407926	0.396246387445	0.669892199843	0.43353177334	0.410221192828	0.384217957963	0.308364008775	0.749904275181	0.252214644107	0.114299558435	0.176096084693	0.59700433938	0.478031390195	0.319502545655	0.285705000837	0.245071000464	0.275568021173	0.551128799367	0.207448663677	0.132948674542	0.249942758294	0.436858795966	0.533426015627	0.823811680288	0.496828418915	0.707342697587	0.379678447171	0.239213872454	0.261697666507	0.241942072139	0.330448020746	0.442820593349	0.51631465653	0.486713877974	0.623556966244	0.487084834629	0.39263677948	0.261572343753	0.238405421595	0.272870485291	0.221856414073	0.0737846684702	0.325134425173	0.413510021483	0.76978810574	0.629937716003	0.268665604231	0.202292379606	0.283139832827	0.318641137234	0.294720960306	0.754032130924	0.320243173065	0.277686590927	0.542074917306	0.293564328186	0.601309609846	0.13205209049	0.276906249084	0.835826499829	0.351881122024	0.564011378093	0.882265061799	0.775025610065	0.266316837114	0.274946027687	0.294000189762	0.29725019937	0.729083727496	0.302585685376	0.798476220844	0.0232386730083	0.283585815104	0.121603831775	0.203319112574	0.0842454874505	3.76282133459	-0.945138897714	2
indie rock	0.349909676527	0.421943566912	0.25801144305	0.219998651776	0.157106457247	0.531350723582	0.844937649389	0.383213398473	0.367614417829	0.392432601692	0.217711971022	0.328110692634	0.718527255242	0.464927534273	0.488089688125	0.301093442088	0.377856768714	0.792433735317	0.260556628049	0.105985117026	0.151954889476	0.592650573333	0.465390458189	0.243902316795	0.295782674477	0.267681497415	0.353455113424	0.485758124983	0.226239874905	0.134327814672	0.37364503902	0.432951834088	0.605345185203	0.827032187298	0.480172750422	0.715946549883	0.444700037297	0.275571486262	0.322031939458	0.281461590286	0.417817394225	0.368983390232	0.560685585269	0.536971750611	0.61450568409	0.397790271463	0.455821972607	0.325056492414	0.254859631593	0.336390209449	0.241345406861	0.0771951254092	0.34355008096	0.343439337269	0.874065330552	0.512647847579	0.228657546132	0.225546679672	0.123869360063	0.464805598651	0.337252922196	0.851934783714	0.35991804336	0.333994881359	0.43139355634	0.477169535236	0.465606319214	0.154844259762	0.379173883021	0.92951227059	0.406027735649	0.568365779298	0.946315076801	0.879637903796	0.236438149015	0.403808763411	0.313493005461	0.486856250406	0.810406520093	0.297984455643	0.764116029353	0.0899034777451	0.0511162478097	0.0730696665506	0.129311784754	0.0258229926608	4.02282897551	-0.895776576754	5
soul	0.357619999395	0.375354999855	0.238070095765	0.211044833192	0.161370030634	0.617229460186	0.8455948618	0.338360153925	0.39737870978	0.436767313971	0.289165206788	0.423432949755	0.710714975136	0.447998759898	0.456003353103	0.344363138616	0.381203035305	0.774512687489	0.250569785452	0.0812456058736	0.160735410538	0.636597464706	0.478833887007	0.280189117102	0.303792775883	0.249900069339	0.363766014994	0.59815264061	0.230918010548	0.151655041036	0.350764074004	0.458679414235	0.645355509441	0.814623301875	0.592341071181	0.83959453825	0.367456590626	0.27271276988	0.289620744215	0.259806426083	0.366596515226	0.641202808315	0.641265325299	0.591527925026	0.626514191191	0.40269703189	0.41156616789	0.295443291988	0.273311968287	0.303776126723	0.242531350433	0.121263295234	0.420461619412	0.415897763172	0.847083922949	0.547717620298	0.241099559413	0.269551158789	0.239900525256	0.39119308435	0.28675840721	0.853942412114	0.370896529624	0.318327778843	0.575218486509	0.349143465698	0.64589751566	0.169552827432	0.358148449193	0.797534072175	0.448859624068	0.628755980496	0.794133754689	0.817403411351	0.278220307438	0.364060109229	0.305569323578	0.364088818973	0.823522288604	0.328314603012	0.873476168003	0.0235205412005	0.183387316002	0.129401942059	0.174470466287	0.0974381451817	4.11075110285	-0.991925589629	5
alternative rock	0.405814710306	0.355656709852	0.263524188732	0.28648143496	0.174238553842	0.42822045909	0.812198294629	0.431196251119	0.293632160199	0.350769495978	0.255609706331	0.295532614964	0.729654018171	0.390190281898	0.485885788589	0.284841192199	0.449532401256	0.808818077709	0.256166731495	0.0866151821846	0.133494304763	0.493766734284	0.399299095892	0.272521798491	0.290745574613	0.254206181688	0.468348816669	0.392124115927	0.223728758656	0.146682845043	0.373107932659	0.385176144168	0.535304958121	0.793282056936	0.370108191461	0.863086454624	0.366692823091	0.330044515654	0.372658507888	0.26457389538	0.442315272545	0.353251713486	0.593730720589	0.527583195692	0.524009213896	0.404000823326	0.370454396777	0.376747536367	0.248235317977	0.391657472223	0.24649111076	0.136963840283	0.374937180237	0.296259419033	0.807300473389	0.40234064595	0.323453752751	0.303198750137	0.109916754055	0.464072174167	0.302339353837	0.789101118351	0.403685500172	0.386559850442	0.367252304743	0.428791476019	0.428058380296	0.174174684504	0.447421397287	0.957799021088	0.353250790002	0.592911081576	0.823853100807	0.864996749912	0.233911327953	0.440274671228	0.300420047089	0.482648147777	0.841039819705	0.273420417288	0.836762193339	0.257131479827	0.0	0.215057849063	0.0726828707683	0.0118819542973	3.94323306721	-0.663086484647	2
