tag key	38	86	114	90	12	13	53	55	108	14	4	67	118	19	40	119	60	144	43	44	51	141	46	36	104	74	138	123	48	10	129	52	126	49	133	130	62	132	96	66	35	110	33	34	23	131	99	88	57	78	1	125	81	9	89	140	20	80	111	107	122	7	5	106	124	8	102	121	143	94	2	37	18	128	64	25	145	127	139	112	68	29	69	27	79	39	93	26	61	24	82	21	63	15	113	54	97	103	45	91	151	95	41	101	116	70	84	17	22	3	100	50	30	76	137	109	11	87	75	105	115	32	73	136	92	6	98	72	58	42	71	28	142	134	47	152	154	59	65	120	85	16	150	56	83	153	117	77	156	147	146	148	135	31	155	149	157	159	158
tag name	rock	pop	indie	electronic	alternative	classic rock	folk	indie rock	soul	alternative rock	dance	indie pop	rap	jazz	acoustic	ambient	hard rock	experimental	classical	house	blues	metal	new wave	hip hop	funk	punk	psychedelic	britpop	latin	heavy metal	electro	progressive rock	synthpop	dubstep	electropop	reggae	oldies	indie folk	grunge	techno	psychedelic rock	country	emo	disco	rnb	punk rock	soft rock	thrash metal	contemporary classical	swing	folk rock	trance	trip hop	progressive metal	glam rock	alternative metal	ska	industrial	metalcore	death metal	melodic death metal	black metal	post punk	romantic	blues rock	post rock	world music	doom metal	gothic metal	industrial metal	power metal	soundtracks	stoner rock	art rock	modern classical	brutal death metal	gothic rock	new age	neoclassical	avant garde	screamo	symphonic metal	baroque	fusion	nu metal	minimalism	acid jazz	art pop	noise	speed metal	rockabilly	experimental rock	groove metal	rock n roll	funk rock	alternative pop	orchestral	industrial rock	chanson francaise	chanson	progressive death metal	bluegrass	gospel	nu jazz	crossover	folk metal	smooth jazz	post grunge	minimalist	jazz fusion	melodic metal	psychedelic folk	country rock	hardcore punk	christian rock	a cappella	sludge	post hardcore	glam metal	grindcore	viking metal	opera	krautrock	ballads	dnb	neofolk	classical music	technical death metal	sludge metal	musicals	prog rock	jazz rock	contemporary jazz	trash metal	stoner metal	symphonic black metal	melodic black metal	british rock	avantgarde	flamenco	classical guitar	symphonic	atmospheric black metal	modern rock	jazz funk	pagan metal	mathcore	post metal	medieval	electroacoustic	folk punk	death doom metal	choral	crust punk	progressive black metal	ambient black metal	renaissance	early music	pagan black metal
tag sum	0.099197	0.096351	0.086928	0.078421	0.061472	0.035532	0.034796	0.029012	0.027075	0.026861	0.022986	0.020297	0.018858	0.017836	0.016519	0.015544	0.014821	0.014552	0.01407	0.012501	0.011486	0.011262	0.011201	0.011022	0.008811	0.008574	0.007893	0.007772	0.007455	0.006958	0.006784	0.006759	0.006654	0.005731	0.005555	0.005475	0.005399	0.005107	0.005037	0.003815	0.003606	0.003502	0.003308	0.003205	0.003147	0.002957	0.002841	0.002764	0.002595	0.002523	0.002391	0.002302	0.0021	0.002073	0.002043	0.002029	0.001991	0.001965	0.00194	0.001933	0.001794	0.001733	0.001689	0.001618	0.001404	0.001342	0.001282	0.001119	0.001109	0.001085	0.001048	0.001025	0.00102	0.001012	0.000987	0.000973	0.000972	0.000953	0.00093	0.000908	0.000885	0.000865	0.000788	0.000787	0.000786	0.000752	0.000705	0.000651	0.000636	0.000587	0.000586	0.00056	0.00056	0.000498	0.000491	0.00049	0.000476	0.000452	0.000393	0.000389	0.000367	0.000324	0.000322	0.000306	0.000301	0.00029	0.000278	0.000275	0.000248	0.000236	0.000236	0.000228	0.000226	0.000218	0.000215	0.000209	0.000204	0.000196	0.000191	0.00016	0.000152	0.00015	0.000148	0.000141	0.000133	0.000129	0.000123	0.000123	9.5e-05	9.1e-05	8.8e-05	8.3e-05	8e-05	7.9e-05	7.8e-05	7.2e-05	7.2e-05	7e-05	6.8e-05	6.1e-05	6.1e-05	6.1e-05	6e-05	5.9e-05	5.9e-05	5.5e-05	5.4e-05	4.5e-05	3.8e-05	3.6e-05	2.9e-05	2.4e-05	1.9e-05	1.8e-05	1.5e-05	8e-06	5e-06	1e-06	0.0
Brazil	0.128113	0.120022	0.082958	0.054602	0.070488	0.036743	0.031479	0.028914	0.02625	0.032025	0.027426	0.019119	0.024257	0.018917	0.01634	0.002941	0.017672	0.008594	0.005266	0.010404	0.010073	0.010865	0.01051	0.011506	0.009904	0.010107	0.008757	0.00874	0.017395	0.007573	0.005526	0.005807	0.005248	0.004302	0.006742	0.008541	0.004785	0.002987	0.006733	0.001374	0.004484	0.004885	0.005488	0.002662	0.003776	0.004312	0.002351	0.002643	0.000201	0.001687	0.002653	0.001028	0.001275	0.000774	0.002452	0.002131	0.002231	0.001276	0.001731	0.00113	0.000303	0.001574	0.001858	0.001675	0.001321	0.000407	0.003708	0.000202	0.000278	0.000776	0.000528	0.000392	0.001214	0.000799	2.2e-05	0.001476	0.000651	3.1e-05	3.2e-05	0.000447	0.001016	0.000254	0.000435	0.000441	0.00087	4.3e-05	0.000313	0.000476	0.000331	0.000616	0.000476	0.000364	0.000362	0.000539	0.000653	0.000681	0.000197	0.000347	1.3e-05	4e-05	0	0.000262	0.000266	9.2e-05	0.000293	1.1e-05	0.000175	0.000327	2.8e-05	5.7e-05	0.000176	0.00011	0.000242	0.00034	9.6e-05	3e-06	0.000118	0.000355	0.000264	0.000137	4.3e-05	5.8e-05	1.2e-05	0.00011	0.000103	1.1e-05	6.1e-05	3.6e-05	7.6e-05	7.7e-05	6.8e-05	3.1e-05	6e-06	0.000113	4.8e-05	0	0	8.4e-05	1.6e-05	1.1e-05	0.000114	1.4e-05	0	5.4e-05	2.2e-05	0	2.5e-05	1.7e-05	0	0	0	0	6e-06	2.1e-05	0	0	0	0	0
Canada	0.093729	0.084341	0.10502	0.083752	0.06496	0.041569	0.040872	0.03894	0.028759	0.026813	0.021669	0.028543	0.029963	0.016887	0.015719	0.013702	0.011944	0.017592	0.008924	0.011658	0.011011	0.005754	0.011443	0.016418	0.009718	0.008994	0.010507	0.004697	0.001302	0.003949	0.007211	0.006609	0.007571	0.006767	0.006429	0.004222	0.006739	0.006592	0.005588	0.002237	0.003642	0.004574	0.004052	0.002415	0.003393	0.002801	0.003104	0.001063	0.001604	0.003344	0.003074	0.001692	0.002006	0.000424	0.001923	0.001279	0.001451	0.001406	0.000301	0.000211	0.000274	0.000657	0.001816	0.000855	0.001402	0.001249	0.000592	0.00015	8.3e-05	0.000473	6.7e-05	0.000681	0.000822	0.00106	0.000638	0.000301	0.000369	0.000225	0.000574	0.000943	0.000398	1.1e-05	0.000479	0.000585	0.000483	0.000529	0.000465	0.000788	0.001115	0.000255	0.000645	0.000562	1.5e-05	0.000484	0.00047	0.000453	0.000294	0.000429	2.5e-05	8.1e-05	0	0.000656	0.000358	0.000234	0.000218	0	0.000184	0.000278	0.00016	0.000277	8.1e-05	0.00036	0.000333	0.000191	1.7e-05	0.000422	9.9e-05	0.000182	8.8e-05	9.3e-05	1.6e-05	6.4e-05	3.2e-05	7.3e-05	3.4e-05	7e-06	7.5e-05	0	6.6e-05	0	9.5e-05	8.1e-05	3.8e-05	3.3e-05	4.2e-05	0	0	4.8e-05	3.2e-05	0	6.5e-05	9e-06	0	8.5e-05	5.7e-05	0	1.8e-05	9e-06	0	1.6e-05	8e-06	0	7e-06	2.2e-05	0	0	0	0	0
Italy	0.105792	0.089636	0.095787	0.070879	0.06895	0.041271	0.044193	0.033249	0.023379	0.031821	0.017934	0.019432	0.014205	0.021723	0.016134	0.017224	0.015232	0.017986	0.016425	0.008802	0.013873	0.009091	0.013498	0.007902	0.009224	0.009916	0.009697	0.009194	0.002786	0.006536	0.005395	0.010045	0.005486	0.005096	0.003963	0.003745	0.005312	0.005507	0.006706	0.003716	0.003993	0.002584	0.00241	0.002193	0.002227	0.002936	0.003003	0.002293	0.003196	0.0026	0.003158	0.000902	0.001848	0.001681	0.00272	0.001713	0.001131	0.002009	0.000682	0.000722	0.000515	0.001087	0.002174	0.001713	0.001519	0.001686	0.000605	0.000234	0.0002	0.000856	0.000305	0.000937	0.001444	0.001383	0.0012	0.000751	0.000803	0.000649	0.001103	0.001554	0.000251	0.000183	0.001042	0.000916	0.000723	0.000945	0.000748	0.000786	0.001165	0.000554	0.000413	0.000786	0.000304	0.000537	0.000494	0.000385	0.00041	0.000453	3.8e-05	0.000465	0.000185	0.000258	0.000335	0.000291	0.000445	6e-06	0.000291	0.000229	0.000316	0.000358	0.000132	0.000294	0.000234	0.00017	0.0	0.000217	0.000118	0.000307	0.000182	8.9e-05	1.5e-05	0.000127	0.000391	0.000238	3e-05	0.000305	0.000156	2e-06	7.6e-05	0	0.000228	8.5e-05	6.4e-05	6.4e-05	0.000141	0	0	9.1e-05	7.4e-05	0	7e-05	2.9e-05	2e-06	9e-06	8.9e-05	0	2e-05	1e-05	0	2.1e-05	4.8e-05	0.0	1.1e-05	1.5e-05	0	1e-06	0	0	0
Bangladesh	0.101803	0.08592	0.083655	0.062134	0.061813	0.036781	0.04184	0.024635	0.017041	0.034738	0.020707	0.018557	0.019879	0.006797	0.02282	0.018267	0.025981	0.011266	0.014772	0.011713	0.008214	0.023197	0.005589	0.01074	0.004576	0.006763	0.006252	0.00609	0.002676	0.015136	0.004944	0.011808	0.003796	0.0052	0.004083	0.003805	0.002964	0.006641	0.006391	0.002051	0.003626	0.005572	0.004821	0.002167	0.002785	0.002317	0.005508	0.006577	0.003797	0.001007	0.002647	0.002923	0.001434	0.007423	0.001803	0.003966	0.000675	0.002247	0.006686	0.005316	0.006449	0.001886	0.000925	0.003432	0.001427	0.001755	0.002188	0.002254	0.00241	0.001513	0.001701	0.001158	0.000808	0.001053	0.001425	0.001102	0.001152	0.001726	0.00135	0.000657	0.001284	0.00256	0.000432	0.00405	0.001383	0.000994	0.0003	0.000386	0.000269	0.001051	0.000248	0.000464	0.001618	0.000389	0.000415	0.000365	0.000426	0.000493	3.1e-05	0.000123	0.001059	0.000417	0.000217	0.000154	0.000259	0.001017	7.2e-05	0.000592	0.000333	0.000102	0.000525	0.000168	0.000219	0.000135	0.0012	0.000149	0.000217	0.000183	0.000431	0.000182	0.000445	0.000107	1e-05	0.000253	4.6e-05	2.3e-05	9.8e-05	0.00035	0.000123	0	0.000167	0.000107	6e-06	0.000158	5.1e-05	0.000209	6.2e-05	5.5e-05	3.1e-05	0	3.5e-05	7.1e-05	8.1e-05	0.000176	1.4e-05	0.000439	5.2e-05	5.1e-05	0	3e-05	5e-06	2.4e-05	6e-06	1.6e-05	2e-06	2e-06	0	0	0
India	0.101018	0.091095	0.080631	0.077707	0.057769	0.045026	0.038529	0.025793	0.022664	0.0286	0.025456	0.018789	0.020296	0.012761	0.020097	0.022363	0.019843	0.013247	0.019231	0.015643	0.01162	0.011333	0.006119	0.012444	0.006897	0.005552	0.007527	0.006139	0.002988	0.007785	0.006477	0.01013	0.004227	0.00647	0.005331	0.004996	0.004318	0.005582	0.006309	0.002693	0.004015	0.003909	0.003695	0.002204	0.003539	0.002077	0.005976	0.002998	0.004125	0.001897	0.002535	0.004468	0.001848	0.003136	0.00172	0.002149	0.000883	0.001812	0.001754	0.001144	0.000755	0.000959	0.000961	0.006063	0.001633	0.001832	0.008689	0.00048	0.0002	0.000854	0.000287	0.004121	0.00089	0.000918	0.00169	0.000658	0.000608	0.00172	0.00149	0.000627	0.000847	4.6e-05	0.00073	0.001339	0.000822	0.001038	0.000471	0.000421	0.000474	0.00068	0.000315	0.00044	0.000614	0.00052	0.000452	0.000386	0.000695	0.000436	3e-05	3e-05	0.000593	0.00028	0.000274	0.000248	0.000245	0	0.000132	0.000438	0.000352	0.000201	0.000165	0.000186	0.000276	9.4e-05	0.000378	4e-06	0.000231	0.00014	0.000235	0.000235	1.6e-05	0.000212	1.5e-05	0.000248	7.5e-05	3e-06	0.000113	2.9e-05	6.9e-05	0	0.000163	9.2e-05	2e-05	7.9e-05	4.7e-05	0	1e-06	5.3e-05	2e-05	0	5.8e-05	3e-05	0	9.1e-05	3.5e-05	0	2.2e-05	3.3e-05	0	6e-05	0	5e-06	9e-06	1.8e-05	0	0	0	0	0
Korea, Republic of	0.080752	0.130057	0.095818	0.082479	0.055944	0.029294	0.033558	0.029988	0.036639	0.020538	0.032144	0.025056	0.024338	0.029997	0.018371	0.015434	0.009158	0.014894	0.017861	0.012557	0.010718	0.00522	0.007589	0.015047	0.010173	0.00568	0.007853	0.007952	0.00193	0.004079	0.006565	0.004012	0.006766	0.006085	0.006995	0.003139	0.005902	0.004957	0.003444	0.002641	0.00274	0.003518	0.003156	0.003092	0.007732	0.002088	0.00311	0.001168	0.002905	0.003474	0.002136	0.00244	0.001923	0.000638	0.001655	0.000944	0.000881	0.001238	0.000214	0.000341	0.000418	0.001288	0.001517	0.002087	0.000921	0.001238	0.000574	0.000132	9.1e-05	0.000292	0.000106	0.0011	0.000519	0.000811	0.001044	0.000594	0.000407	0.000782	0.000987	0.0012	0.000111	2.5e-05	0.000984	0.001064	0.00071	0.000875	0.001059	0.000813	0.000688	0.000305	0.000293	0.000502	5.7e-05	0.000326	0.000442	0.000638	0.000475	0.000346	2.2e-05	2.2e-05	0	0.000253	0.000323	0.000269	0.000192	0	0.000624	0.000125	0.000276	0.000447	9.3e-05	0.000249	0.000211	0.00012	1.1e-05	0.000765	4.3e-05	5.6e-05	9.1e-05	0.000228	1.7e-05	0.000127	5.2e-05	0.000301	8.3e-05	1.9e-05	0.000157	0	0	0.000601	7e-05	7e-05	0.000325	3.1e-05	2.7e-05	0	0	4.7e-05	3.6e-05	0	8.5e-05	1.3e-05	0	0.00044	9.6e-05	0	1.7e-05	3e-06	0	1.8e-05	0	0	1.1e-05	2.4e-05	0	0	0	0	0
Lithuania	0.100225	0.081382	0.090548	0.092961	0.061607	0.044756	0.034155	0.032149	0.029456	0.027821	0.022729	0.020181	0.013761	0.014742	0.015042	0.019853	0.019045	0.018098	0.010579	0.014719	0.012036	0.01111	0.01433	0.008649	0.009847	0.007574	0.009021	0.007748	0.001528	0.007988	0.007809	0.006672	0.00828	0.00673	0.005896	0.003651	0.006661	0.005799	0.004902	0.004888	0.003995	0.002603	0.002764	0.003058	0.002771	0.002671	0.003091	0.002327	0.00229	0.003089	0.002744	0.002394	0.002452	0.001238	0.002674	0.002054	0.001151	0.002556	0.001406	0.000791	0.000807	0.001258	0.002105	0.001075	0.001971	0.001341	0.000473	0.001108	0.000599	0.001277	0.000446	0.000698	0.001028	0.001076	0.000976	0.000297	0.001309	0.000599	0.000845	0.000861	0.000643	0.000808	0.000559	0.000389	0.000829	0.000762	0.000675	0.000806	0.000627	0.00059	0.000736	0.000565	0.000382	0.000524	0.000815	0.000456	0.000264	0.000514	2.8e-05	2.4e-05	0.000221	0.000261	0.000355	0.000347	0.000302	9.1e-05	0.000164	0.000251	0.000236	0.000149	0.00015	0.000238	0.000228	0.000123	2.3e-05	5e-06	0.000103	0.000124	0.000278	0.00012	0.000127	8.5e-05	0.00027	9.3e-05	0.000101	0.000198	9.6e-05	1.7e-05	5.9e-05	0	8e-05	5.1e-05	1.8e-05	6.5e-05	5.5e-05	0	2e-06	7.2e-05	5.4e-05	0	2.8e-05	2.9e-05	0.000194	3.2e-05	4.5e-05	8e-06	2.3e-05	6.4e-05	1e-06	2.1e-05	0	1.2e-05	8e-06	1.5e-05	3.3e-05	6e-06	0	0	0
